name;line_id;station_id;Geo Shape;type;num_docks_available;is_installed;date_installed;price;price_navigo;web;project_owner;zdcld;zdcname;insee_code;municipality;x_long;y_lat;Geo Point;Column 45
EPINAY-SUR-SEINE;RER C,TRAM 8,TRAM 11;255;"{""coordinates"": [2.302340396, 48.9533965], ""type"": ""Point""}";consigne;40;true;2023;30 €;0 €;https://sncf-parking-velos.iledefrance-mobilites.fr;SNCF;72383;Épinay-sur-Seine;93031;Épinay-sur-Seine;2.302340396;48.9533965;48.9533965, 2.302340396;
EPINAY-SUR-SEINE;RER C,TRAM 8,TRAM 11;1018;"{""coordinates"": [2.302340396, 48.9533965], ""type"": ""Point""}";abri;20;true;2023;;NC;NC;SNCF;72383;Épinay-sur-Seine;93031;Épinay-sur-Seine;2.302340396;48.9533965;48.9533965, 2.302340396;
ERMONT-EAUBONNE;RER C,TRAIN H,TRAIN J;1178;"{""coordinates"": [2.27119101, 48.98113813], ""type"": ""Point""}";consigne;96;true;2024;30 €;0 €;https://velo.valparisis.fr/;CA - Val Parisis;65669;Ermont - Eaubonne;95219;Ermont;2.27119101;48.98113813;48.98113813, 2.27119101;
ETRECHY;RER C;1089;"{""coordinates"": [2.194901, 48.493527], ""type"": ""Point""}";abri;8;true;2023;;NC;NC;SNCF;59678;Étréchy;91226;Étréchy;2.194901;48.493527;48.493527, 2.194901;
EVRY-COURCOURONNES;RER D,TRAM 12,TZEN 4;1157;"{""coordinates"": [2.429266, 48.625684], ""type"": ""Point""}";abri;44;true;2024;;NC;NC;SNCF;60450;Évry - Courcouronnes;91228;Évry-Courcouronnes;2.429266;48.625684;48.625684, 2.429266;
FAREMOUTIERS-POMMEUSE;TRAIN P;1055;"{""coordinates"": [2.99341, 48.80847], ""type"": ""Point""}";consigne;10;true;2024;30 €;0 €;https://sncf-parking-velos.iledefrance-mobilites.fr;SNCF;67917;Faremoutiers - Pommeuse;#N/A;Faremoutiers - Pommeuse;2.99341;48.80847;48.80847, 2.99341;
FONTAINEBLEAU-AVON;TRAIN R;152;"{""coordinates"": [2.726054565, 48.41581733], ""type"": ""Point""}";abri;28;true;2014;;NC;NC;CA - Pays de Fontainebleau;61579;Fontainebleau - Avon;77014;Avon;2.726054565;48.41581733;48.41581733, 2.726054565;
FONTENAY-AUX-ROSES;RER B;593;"{""coordinates"": [2.292708, 48.787498], ""type"": ""Point""}";consigne;20;true;2022;30 €;0 €;https://abris-velos.valleesud.fr/accueil;EPT - Vallée Sud Grand Paris;70133;Fontenay-aux-Roses;92032;Fontenay-aux-Roses;2.292708;48.787498;48.787498, 2.292708;
FONTENAY-AUX-ROSES;RER B;796;"{""coordinates"": [2.291858, 48.787491], ""type"": ""Point""}";abri;20;true;2022;;NC;NC;EPT - Vallée Sud Grand Paris;70133;Fontenay-aux-Roses;92032;Fontenay-aux-Roses;2.291858;48.787491;48.787491, 2.291858;
FONTENAY-AUX-ROSES;RER B;928;"{""coordinates"": [2.291222, 48.787639], ""type"": ""Point""}";abri;12;true;2024;;NC;NC;EPT - Vallée Sud Grand Paris;70133;Fontenay-aux-Roses;92032;Fontenay-aux-Roses;2.291222;48.787639;48.787639, 2.291222;
FONTENAY-AUX-ROSES;RER B;929;"{""coordinates"": [2.291167, 48.787639], ""type"": ""Point""}";consigne;20;true;2024;30 €;0 €;https://abris-velos.valleesud.fr/accueil;EPT - Vallée Sud Grand Paris;70133;Fontenay-aux-Roses;92032;Fontenay-aux-Roses;2.291167;48.787639;48.787639, 2.291167;
FONTENAY-AUX-ROSES;RER B;557;"{""coordinates"": [2.292444, 48.787472], ""type"": ""Point""}";abri;12;true;2024;30 €;0 €;https://abris-velos.valleesud.fr/accueil;EPT - Vallée Sud Grand Paris;70133;Fontenay-aux-Roses;92032;Fontenay-aux-Roses;2.292444;48.787472;48.787472, 2.292444;
FOURQUEUX - BEL AIR;TRAM 13;1037;"{""coordinates"": [2.070365, 48.895094], ""type"": ""Point""}";abri;36;true - non labellisé non financé;2015;;NC;NC;Saint-Germain-en-Laye;64566;Fourqueux - Bel Air;78551;Saint-Germain-en-Laye;2.070365;48.895094;48.895094, 2.070365;
GABRIEL PERI;METRO 13;1364;"{""coordinates"": [2.29451045, 48.9160298], ""type"": ""Point""}";abri;10;true;2024;;NC;NC;RATP;72203;Gabriel Péri;92004;Asnières-sur-Seine;2.29451045;48.9160298;48.9160298, 2.29451045;
GALLIENI;METRO 3;236;"{""coordinates"": [2.4165075, 48.8646204], ""type"": ""Point""}";abri;24;true;2023;;NC;NC;RATP;71817;Gallieni;93006;Bagnolet;2.4165075;48.8646204;48.8646204, 2.4165075;
GARGAN;TRAM 4;638;"{""coordinates"": [2.517506, 48.908531], ""type"": ""Point""}";abri;10;true - non labellisé;2021;;NC;NC;IDFM;73360;Gargan;93046;Livry-Gargan;2.517506;48.908531;48.908531, 2.517506;
ORLY - GASTON VIENS;TRAM 9;1000;"{""coordinates"": [2.408614, 48.745254], ""type"": ""Point""}";consigne;30;true;2023;30 €;0 €;https://idf-mobilites.fr/seineorly-parking-velos;IDFM;69656;Orly - Gaston Viens;94054;Orly;2.408614;48.745254;48.745254, 2.408614;
GIF-SUR-YVETTE;RER B;853;"{""coordinates"": [2.13683966, 48.69801592], ""type"": ""Point""}";abri;24;true;2023;;NC;NC;RATP;62890;Gif-Sur-Yvette;91272;Gif-sur-Yvette;2.13683966;48.69801592;48.69801592, 2.13683966;
GUILLERVAL;TER;1171;"{""coordinates"": [2.059921, 48.374948], ""type"": ""Point""}";abri;10;true;2024;;NC;NC;SNCF;59450;Guillerval;91294;Guillerval;2.059921;48.374948;48.374948, 2.059921;
